city,lon,lat,temp,temp_max,humidity,wind_speed,%_cloud_cover
Bluff,168.3333,-46.6,49.8,49.8,70,19.77,95
Bethel,-73.414,41.3712,43.54,46.72,58,1.01,0
Muswellbrook,150.9,-32.2667,63.25,64.33,91,10.8,66
Pangody,74.4859,65.85,1.92,1.92,97,9.66,97
Barra Patuca,-84.2833,15.8,78.44,78.44,78,11.86,20
Ejura,-1.3562,7.3856,81.1,81.1,17,4.59,75
Punta Arenas,-70.9167,-53.15,53.42,60.82,54,10.36,0
Rikitea,-134.9692,-23.1203,73.4,73.4,80,5.7,100
Port Alfred,26.891,-33.5906,69.91,69.91,79,14.27,2
Dolores,-57.6792,-36.3132,76.91,76.91,63,15.84,94
Kapaa,-159.319,22.0752,73.11,73.11,59,8.3,7
Cape Town,18.4232,-33.9258,65.62,67.08,69,3,0
Gillette,-105.5022,44.2911,9,11.25,75,5.75,100
Touros,-35.4608,-5.1989,88.7,88.7,67,14.14,28
Saint Paul Harbor,-152.4072,57.79,33.78,33.78,97,16.67,100
Hermanus,19.2345,-34.4187,61.81,65.89,73,5.46,29
Ushuaia,-68.3,-54.8,53.26,56.82,58,16.11,20
Lodhran,71.6336,29.5405,55.74,55.74,45,8.75,10
Labuhan,112.2051,-6.8844,75.16,75.16,90,6.06,100
Dzilam González,-88.9333,21.2833,86.09,86.09,41,4.99,0
Plettenberg Bay,23.3716,-34.0527,64.65,64.65,87,4.38,12
Haines Junction,-137.5108,60.7522,-7.65,-7.65,77,1.14,100
Hobart,147.3294,-42.8794,50.41,52.27,86,1.01,75
Sitka,-135.33,57.0531,40.89,40.89,70,26.46,100
Arraial do Cabo,-42.0278,-22.9661,80.46,82.36,78,17.27,20
Albany,-73.9662,42.6001,37.67,42.62,59,5.57,96
Cabo San Lucas,-109.9124,22.8909,79.56,80.62,71,3.62,100
Mardin,40.7436,37.3131,26.28,26.28,96,8.93,99
Chui,-53.4616,-33.6971,83.89,83.89,66,7.23,53
Zyryanka,150.85,65.75,-36.44,-36.44,96,7,24
Banyo,11.8167,6.75,67.69,67.69,32,4.99,24
Catuday,119.8062,16.2923,74.86,74.86,77,6.06,19
Cidreira,-50.2056,-30.1811,80.87,80.87,79,13.13,9
Puerto Ayora,-90.3518,-0.7393,82.36,82.36,74,7.83,99
Kiryat Gat,34.7642,31.61,46,50.68,100,19.93,100
Angoram,144.0661,-4.0625,72.73,72.73,98,2.35,100
Broome,-75.833,42.2506,41,43.56,65,7,0
Tezu,96.1667,27.9167,55.96,55.96,49,4.03,46
Chenghai,116.768,23.4632,53.51,53.51,100,4.47,0
Joshīmath,79.5667,30.5667,40.64,40.64,77,3.4,99
Ipixuna,-48.8043,-1.7625,78.75,78.75,89,4.94,56
Busselton,115.3333,-33.65,74.08,74.08,54,8.52,40
Sittwe,92.9,20.15,64.06,64.06,78,4.09,2
Kaitangata,169.8464,-46.2817,53.92,53.92,77,11.34,100
Manakara,48.0167,-22.1333,73.9,73.9,89,5.39,100
Jamestown,-79.2353,42.097,39.13,41.29,58,5.01,100
Qarqīn,66.0436,37.4185,42.94,42.94,63,7.87,0
Zaysan,84.8667,47.4667,15.31,15.31,88,5.35,97
Constitución,-72.4167,-35.3333,64.83,64.83,54,17.47,0
Mahébourg,57.7,-20.4081,79.09,79.25,89,4.61,40
St. George's,-61.7485,12.0564,83.88,83.88,61,20.71,20
Yurgamysh,64.4656,55.3714,12.69,12.69,91,6.82,100
East London,27.9116,-33.0153,71.65,71.65,75,10.29,2
Hervey Bay,152.8535,-25.2986,73.02,73.02,94,1.01,51
Severobaykal'sk,109.3167,55.65,10,10,87,1.43,100
New Norfolk,147.0587,-42.7826,49.3,51.93,82,1.45,100
Umm Kaddadah,26.6876,13.6017,57.25,57.25,24,17.09,0
Longyearbyen,15.6401,78.2186,15.64,15.64,67,18.41,75
São João da Boa Vista,-46.7981,-21.9692,82.87,82.87,86,8.08,88
Cherskiy,161.3,68.75,-43.24,-43.24,99,3.89,39
Klaksvík,-6.589,62.2266,32.92,32.92,57,28.32,100
Hithadhoo,73.0833,-0.6,81.14,81.14,77,8.68,99
Ordubad,46.0234,38.9059,24.89,24.89,58,3.74,6
Vao,167.4833,-22.6667,77.9,77.9,76,17.6,6
Vakhrushev,142.9667,48.9833,11.35,11.35,84,5.06,100
Auki,160.7034,-8.7676,78.87,78.87,85,2.64,75
Obihiro,143.2044,42.9172,4.48,4.48,95,3.04,88
Domažlice,12.9298,49.4405,34.03,36.5,89,16.78,100
Iqaluit,-68.5145,63.7506,-20.47,-20.47,69,8.05,40
Jacareacanga,-57.7528,-6.2222,89.91,89.91,62,5.75,0
Hualmay,-77.6139,-11.0964,76.69,76.69,73,12.48,67
Tromsø,18.957,69.6496,31.17,32.02,69,7,75
Tuatapere,167.6833,-46.1333,49.82,49.82,85,11.65,100
Aklavik,-135.0107,68.2191,-11.2,-11.2,77,3.44,100
Pevek,170.3133,69.7008,-37.53,-37.53,97,3.85,40
Champerico,-91.9167,14.3,91.9,91.94,61,10.27,0
Tasiilaq,-37.6368,65.6145,23.76,23.76,92,8.41,100
Concordia,-58.0209,-31.393,90.79,91.47,63,7,100
Strezhevoy,77.5889,60.7333,15.78,15.78,98,6.82,100
Borgosesia,8.2799,45.7145,34.93,40.39,87,2.64,0
Rundu,19.7667,-17.9333,68.09,68.09,87,5.06,99
Atuona,-139.0333,-9.8,78.71,78.71,73,19.01,8
Barrow,-156.7887,71.2906,-28.34,-28.34,100,5.57,25
Maralal,36.698,1.0968,59.72,59.72,72,0.85,38
Glace Bay,-59.957,46.1969,17.8,19.18,73,8.01,40
Provideniya,-173.3,64.3833,-11.45,-11.45,88,5.88,6
Russell,-85.1999,32.3502,62.29,63.05,46,5.75,100
Vostok,135.8833,46.4856,-11.61,-11.61,99,2.64,100
Thompson,-97.8558,55.7435,-14.64,-14.64,64,10.36,0
Qaanaaq,-69.3632,77.484,-7.73,-7.73,68,7.7,0
Mataura,168.8643,-46.1927,49.48,49.48,98,5.46,100
Kushmurun,64.6311,52.4503,-1.62,-1.62,97,8.08,98
Aksu,80.2644,41.1231,27.01,27.01,41,2.28,100
Hinton,-117.5857,53.4001,3.24,3.24,81,6.62,95
Sola,167.55,-13.8833,82.36,82.36,70,5.97,63
George Town,100.3354,5.4112,79.75,81.9,82,1.99,20
Nome,-165.4064,64.5011,-11.13,-11.13,64,3.44,0
Shenjiamen,122.298,29.9576,48.2,48.2,77,12.24,96
Harper,-7.7169,4.375,79.61,79.61,80,6.62,20
Margate,1.3862,51.3813,42.24,43.7,74,4,34
Marawi,124.2928,7.9986,65.59,65.59,93,2.26,99
Zacualpan,-105.1667,21.25,78.71,78.71,56,5.03,100
Klichka,117.996,50.4457,-21.95,-21.95,100,1.95,11
Codrington,141.9667,-38.2667,55.8,55.8,82,10.22,0
Bilibino,166.4372,68.0546,-32.17,-32.17,89,2.8,4
Ribeira Grande,-28.7,38.5167,64.8,64.8,77,16.11,40
